Date,muster_Mean
1/01/1985,309
1/02/1985,547
1/03/1985,695
1/04/1985,760
1/05/1985,813
1/06/1985,815
1/07/1985,863
1/08/1985,928
1/09/1985,965
1/10/1985,996
1/11/1985,1069
1/12/1985,1073
1/01/1986,1142
1/02/1986,1217
1/03/1986,1274
1/04/1986,1324
1/05/1986,1348
1/06/1986,1307
1/07/1986,1332
1/08/1986,1314
1/09/1986,1291
1/10/1986,1349
1/11/1986,1381
1/12/1986,1379
1/01/1987,1430
1/02/1987,1496
1/03/1987,1531
1/04/1987,1463
1/05/1987,1431
1/06/1987,1468
1/07/1987,1489
1/08/1987,1554
1/09/1987,1562
1/10/1987,1611
1/11/1987,1577
1/12/1987,1492
1/01/1988,1453
1/02/1988,1498
1/03/1988,1502
1/04/1988,1506
1/05/1988,1506
1/06/1988,1539
1/07/1988,1518
1/08/1988,1495
1/09/1988,1530
1/10/1988,1497
1/11/1988,1502
1/12/1988,1433
1/01/1989,1440
1/02/1989,1487
1/03/1989,1436
1/04/1989,1385
1/05/1989,1460
1/06/1989,1501
1/07/1989,1487
1/08/1989,1506
1/09/1989,1526
1/10/1989,1531
1/11/1989,1582
1/12/1989,1527
1/01/1990,1581
1/02/1990,1587
1/03/1990,1616
1/04/1990,1618
1/05/1990,1693
1/06/1990,1683
1/07/1990,1683
1/08/1990,1727
1/09/1990,1699
1/10/1990,1699
1/11/1990,1678
1/12/1990,1664
1/01/1991,1889
1/02/1991,1903
1/03/1991,1852
1/04/1991,1862
1/05/1991,1832
1/06/1991,1786
1/07/1991,1726
1/08/1991,1742
1/09/1991,1789
1/10/1991,1847
1/11/1991,1855
1/12/1991,1793
1/01/1992,1890
1/02/1992,1890
1/03/1992,1888
1/04/1992,1871
1/05/1992,1918
1/06/1992,1911
1/07/1992,1933
1/08/1992,1893
1/09/1992,1831
1/10/1992,1795
1/11/1992,1732
1/12/1992,1752
1/01/1993,1798
1/02/1993,1850
1/03/1993,1882
1/04/1993,1888
1/05/1993,1927
1/06/1993,2015
1/07/1993,2043
1/08/1993,2041
1/09/1993,2087
1/10/1993,2109
1/11/1993,2108
1/12/1993,2022
1/01/1994,2046
1/02/1994,2126
1/03/1994,2115
1/04/1994,2111
1/05/1994,2140
1/06/1994,2134
1/07/1994,2076
1/08/1994,2076
1/09/1994,2094
1/10/1994,2120
1/11/1994,2106
1/12/1994,2043
1/01/1995,2025
1/02/1995,2105
1/03/1995,2191
1/04/1995,2193
1/05/1995,2205
1/06/1995,2199
1/07/1995,2186
1/08/1995,2235
1/09/1995,2273
1/10/1995,2253
1/11/1995,2283
1/12/1995,2193
1/01/1996,2247
1/02/1996,2192
1/03/1996,2195
1/04/1996,2212
1/05/1996,2221
1/06/1996,2248
1/07/1996,2228
1/08/1996,2262
1/09/1996,2251
1/10/1996,2260
1/11/1996,2209
1/12/1996,2087
1/01/1997,2162
1/02/1997,2195
1/03/1997,2243
1/04/1997,2230
1/05/1997,2269
1/06/1997,2239
1/07/1997,2221
1/08/1997,2252
1/09/1997,2220
1/10/1997,2240
1/11/1997,2294
1/12/1997,2210
1/01/1998,2224
1/02/1998,2244
1/03/1998,2257
1/04/1998,2261
1/05/1998,2281
1/06/1998,2346
1/07/1998,2408
1/08/1998,2467
1/09/1998,2501
1/10/1998,2564
1/11/1998,2625
1/12/1998,2587
1/01/1999,2707
1/02/1999,2806
1/03/1999,2865
1/04/1999,2902
1/05/1999,2995
1/06/1999,3041
1/07/1999,2980
1/08/1999,2951
1/09/1999,2958
1/10/1999,2874
1/11/1999,2890
1/12/1999,2833
1/01/2000,2917
1/02/2000,2976
1/03/2000,2976
1/04/2000,2986
1/05/2000,3044
1/06/2000,3120
1/07/2000,3115
1/08/2000,3133
1/09/2000,3099
1/10/2000,3090
1/11/2000,3085
1/12/2000,3052
1/01/2001,3084
1/02/2001,3111
1/03/2001,3169
1/04/2001,3098
1/05/2001,3150
1/06/2001,3164
1/07/2001,3115
1/08/2001,3111
1/09/2001,3082
1/10/2001,3002
1/11/2001,2860
1/12/2001,2791
1/01/2002,2781
1/02/2002,2801
1/03/2002,2829
1/04/2002,2838
1/05/2002,2774
1/06/2002,2794
1/07/2002,2744
1/08/2002,2805
1/09/2002,2810
1/10/2002,2782
1/11/2002,2837
1/12/2002,2799
1/01/2003,2861
1/02/2003,2895
1/03/2003,2912
1/04/2003,2868
1/05/2003,2864
1/06/2003,2893
1/07/2003,2923
1/08/2003,2927
1/09/2003,2969
1/10/2003,2942
1/11/2003,2944
1/12/2003,2894
1/01/2004,2992
1/02/2004,2998
1/03/2004,3079
1/04/2004,3108
1/05/2004,3141
1/06/2004,3164
1/07/2004,3158
1/08/2004,3191
1/09/2004,3259
1/10/2004,3266
1/11/2004,3321
1/12/2004,3310
1/01/2005,3406
1/02/2005,3499
1/03/2005,3531
1/04/2005,3540
1/05/2005,3567
1/06/2005,3478
1/07/2005,3404
1/08/2005,3355
1/09/2005,3360
1/10/2005,3420
1/11/2005,3390
1/12/2005,3340
1/01/2006,3438
1/02/2006,3513
1/03/2006,3541
1/04/2006,3440
1/05/2006,3452
1/06/2006,3524
1/07/2006,3507
1/08/2006,3563
1/09/2006,3572
1/10/2006,3566
1/11/2006,3626
1/12/2006,3510
1/01/2007,3560
1/02/2007,3638
1/03/2007,3671
1/04/2007,3676
1/05/2007,3796
1/06/2007,3845
1/07/2007,3814
1/08/2007,3857
1/09/2007,3950
1/10/2007,3884
1/11/2007,3832
1/12/2007,3746
1/01/2008,3729
1/02/2008,3769
1/03/2008,3711
1/04/2008,3719
1/05/2008,3734
1/06/2008,3766
1/07/2008,3841
1/08/2008,3881
1/09/2008,3933
1/10/2008,3941
1/11/2008,3974
1/12/2008,3925
1/01/2009,3976
1/02/2009,4038
1/03/2009,4094
1/04/2009,4158
1/05/2009,4279
1/06/2009,4419
1/07/2009,4536
1/08/2009,4637
1/09/2009,4695
1/10/2009,4785
1/11/2009,4837
1/12/2009,4772
1/01/2010,4839
1/02/2010,4871
1/03/2010,4886
1/04/2010,4836
1/05/2010,4794
1/06/2010,4772
1/07/2010,4742
1/08/2010,4689
1/09/2010,4588
1/10/2010,4560
1/11/2010,4567
1/12/2010,4525
1/01/2011,4595
1/02/2011,4667
1/03/2011,4687
1/04/2011,4630
1/05/2011,4672
1/06/2011,4648
1/07/2011,4620
1/08/2011,4626
1/09/2011,4678
1/10/2011,4734
1/11/2011,4764
1/12/2011,4763
1/01/2012,4831
1/02/2012,4915
1/03/2012,4964
1/04/2012,4937
1/05/2012,4964
1/06/2012,4964
1/07/2012,4959
1/08/2012,4897
1/09/2012,4908
1/10/2012,4908
1/11/2012,4933
1/12/2012,4951
1/01/2013,4968
1/02/2013,4969
1/03/2013,4979
1/04/2013,4996
1/05/2013,4987
1/06/2013,4924
1/07/2013,4922
1/08/2013,4970
1/09/2013,4945
1/10/2013,4961
1/11/2013,4935
1/12/2013,4939
1/01/2014,5043
1/02/2014,5065
1/03/2014,5106
1/04/2014,5145
1/05/2014,5291
1/06/2014,5242
1/07/2014,5246
1/08/2014,5276
1/09/2014,5312
1/10/2014,5387
1/11/2014,5391
1/12/2014,5399
1/01/2015,5464
1/02/2015,5450
1/03/2015,5480
1/04/2015,5498
1/05/2015,5534
1/06/2015,5553
1/07/2015,5551
1/08/2015,5601
1/09/2015,5711
1/10/2015,5739
1/11/2015,5725
1/12/2015,5743
1/01/2016,5842
1/02/2016,5932
1/03/2016,6057
1/04/2016,6140
1/05/2016,6232
1/06/2016,6328
1/07/2016,6329
1/08/2016,6306
1/09/2016,6283
1/10/2016,6289
1/11/2016,6352
1/12/2016,6309
1/01/2017,6469
1/02/2017,6660
1/03/2017,6776
1/04/2017,6796
1/05/2017,6740
1/06/2017,6742
1/07/2017,6717
1/08/2017,6745
1/09/2017,6682
1/10/2017,6679
1/11/2017,6671
1/12/2017,6647
1/01/2018,6757
1/02/2018,6856
1/03/2018,6919
1/04/2018,6917
1/05/2018,6875
1/06/2018,6868
1/07/2018,6930
1/08/2018,6922
1/09/2018,6942
1/10/2018,6861
1/11/2018,6844
1/12/2018,6877
